Shape,1k Real 1,1k Real 2,1k Real 3,1k Img 1,1k Img 2,1k Img 3,2k Real 1,2k Real 2,2k Real 3,2k Img 1,2k Img 2,2k Img 3
Aluminium Cylinder,-0.28503017,-0.284895397,-0.144790177,0.258363236,0.253251998,1.1586695,-0.464682802,-0.461692841,-1.159239338,-0.113356685,-0.116313703,-0.195523398
Aluminium Cylinder,-0.289572563,-0.288844083,-0.200097404,0.087618241,0.084552224,0.819651601,-0.260405692,-0.263314212,-1.153245083,0.069574021,0.06998785,-0.415951874
Aluminium Cylinder,-0.274216927,-0.272993993,-0.242051149,0.000868954,-5.28034E-05,0.510627283,-0.290999053,-0.300269489,-0.930611438,0.342840319,0.345861736,-0.436578984
Aluminium Cylinder,-0.244907947,-0.243419379,-0.264579969,-0.005889302,-0.004905081,0.260471103,-0.487951348,-0.499789901,-0.63858992,0.621034409,0.623508262,-0.330920674
Aluminium Cylinder,-0.210656053,-0.209181046,-0.265425359,0.050955329,0.053327516,0.089473242,-0.663929082,-0.671992263,-0.475369768,0.769834545,0.769183757,-0.106373942
Aluminium Cylinder,-0.181365972,-0.18017393,-0.246967513,0.145889604,0.148854516,0.005689533,-0.650495472,-0.651911828,-0.53659533,0.698383589,0.692461627,0.216485541
Aluminium Cylinder,-0.164524573,-0.163797651,-0.216037382,0.249480289,0.25228907,0.003596629,-0.419345962,-0.415158605,-0.738540942,0.428741445,0.419677769,0.538688574
Aluminium Cylinder,-0.164265878,-0.164102302,-0.182213816,0.333853255,0.335830202,0.064980859,-0.087839234,-0.081183115,-0.88262163,0.086126861,0.077209102,0.717935216
Aluminium Cylinder,-0.179180938,-0.179509411,-0.154815733,0.377863045,0.378546528,0.16286079,0.172536977,0.176900499,-0.801963687,-0.186392613,-0.192495748,0.661853611
Aluminium Cylinder,-0.206177615,-0.206785956,-0.143179833,0.368943511,0.36811057,0.26652547,0.245231304,0.245797924,-0.490502084,-0.304090323,-0.305750551,0.38970176
Aluminium Cylinder,-0.234984035,-0.235628754,-0.148886894,0.306729179,0.304501023,0.348035824,0.140423851,0.138493665,-0.082084687,-0.269762749,-0.268530575,0.040986045
Aluminium Cylinder,-0.257288492,-0.257726335,-0.170689333,0.198954203,0.195619112,0.386395023,-0.053975795,-0.056420864,0.234541251,-0.147889394,-0.145850327,-0.239365146
Aluminium Cylinder,-0.265292626,-0.265332499,-0.202090891,0.059945645,0.055973936,0.371024997,-0.23733091,-0.239294997,0.348623486,-0.0124102,-0.010853048,-0.365687539
Aluminium Cylinder,-0.254615485,-0.254141925,-0.235077297,-0.093470375,-0.097639435,0.301584229,-0.361237381,-0.361748017,0.263827822,0.085857722,0.086125343,-0.342241552
Aluminium Cylinder,-0.22375284,-0.222766468,-0.259885124,-0.2449154,-0.248884037,0.187464795,-0.432245165,-0.432455058,0.0743451,0.129903112,0.128715993,-0.230353038
Aluminium Cylinder,-0.174952871,-0.173546949,-0.268877655,-0.38151984,-0.384971969,0.043768479,-0.486624142,-0.487562364,-0.12066908,0.122027328,0.120213426,-0.099877739
Aluminium Cylinder,-0.113157525,-0.111477642,-0.257547855,-0.495091609,-0.497905069,-0.112141469,-0.554068673,-0.556107406,-0.271594081,0.07696837,0.074481824,0.001591518
Aluminium Cylinder,-0.044925897,-0.043162019,-0.225198835,-0.582422007,-0.584529582,-0.264098203,-0.639803532,-0.642513248,-0.380008078,0.010926819,0.008384787,0.051717697
Aluminium Cylinder,0.022760814,0.024412823,-0.174585737,-0.644396467,-0.645858377,-0.399620712,-0.729348287,-0.731836536,-0.472858243,-0.060069475,-0.062535419,0.052917543
Aluminium Cylinder,0.08317435,0.084552598,-0.111234,-0.684818236,-0.685771534,-0.511139852,-0.805411026,-0.807162081,-0.568390565,-0.124188588,-0.126171128,0.014821957
Aluminium Cylinder,0.130854657,0.131830861,-0.042078432,-0.708692361,-0.709278375,-0.596043783,-0.857386626,-0.857831793,-0.66582169,-0.172233522,-0.173521393,-0.045358978
Aluminium Cylinder,0.161709579,0.162186238,0.025511887,-0.720963071,-0.721295449,-0.655896525,-0.884390175,-0.8842441,-0.75014086,-0.200302394,-0.201154431,-0.110300808
Aluminium Cylinder,0.173275148,0.173188418,0.085020364,-0.724892612,-0.725019154,-0.694488079,-0.89299929,-0.892455191,-0.807466767,-0.210640594,-0.210993951,-0.168733349
Aluminium Cylinder,0.166544112,0.161844723,0.130992734,-0.722164931,-0.721627958,-0.717040689,-0.890248565,-0.882866742,-0.836997803,-0.202546487,-0.202979803,-0.211602707
Aluminium Cylinder,0.168314949,0.159657747,0.131393289,-0.722343512,-0.721371376,-0.717115088,-0.892992024,-0.879421045,-0.837423991,-0.202511999,-0.20321838,-0.211494743
Aluminium Cylinder,0.169930975,0.157425122,0.132074663,-0.72240131,-0.72098296,-0.717118509,-0.896788264,-0.87712199,-0.838892505,-0.203341822,-0.205034291,-0.21217953
Aluminium Cylinder,0.171358778,0.155117742,0.132951874,-0.722542836,-0.720689182,-0.717274109,-0.899157762,-0.873534167,-0.840138406,-0.203351374,-0.205497383,-0.211815673
Aluminium Cylinder,0.17257033,0.152775826,0.134036499,-0.722633372,-0.720361505,-0.717446113,-0.901296728,-0.870076252,-0.841719931,-0.203732922,-0.206055044,-0.21172558
